Song,Artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Princess Diana,Ice Spice & Nicki Minaj
Ella Baila Sola,Eslabon Armado X Peso Pluma
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Calm Down,Rema & Selena Gomez
Die For You,The Weeknd & Ariana Grande
Search & Rescue,Drake
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Anti-Hero,Taylor Swift
La Bebe,Yng Lvcas x Peso Pluma
Chemical,Post Malone
Favorite Song,Toosii
Un x100to,Grupo Frontera X Bad Bunny
Players,Coi Leray
Rock And A Hard Place,Bailey Zimmerman
You Proof,Morgan Wallen
Fast Car,Luke Combs
Sure Thing,Miguel
As It Was,Harry Styles
Thinkin' Bout Me,Morgan Wallen
Lavender Haze,Taylor Swift
One Thing At A Time,Morgan Wallen
Thought You Should Know,Morgan Wallen
I'm Good (Blue),David Guetta & Bebe Rexha
Under The Influence,Chris Brown
Thank God,Kane Brown With Katelyn Brown
Something In The Orange,Zach Bryan
Escapism,RAYE Featuring 070 Shake
Slut Me Out,NLE Choppa
Por Las Noches,Peso Pluma
Unholy,Sam Smith & Kim Petras
Wait In The Truck,HARDY Featuring Lainey Wilson
PRC,Peso Pluma X Natanael Cano
Just Wanna Rock,Lil Uzi Vert
Handle On You,Parker McCollum
Dancin' In The Country,Tyler Hubbard
Snooze,SZA
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
TQG,Karol G x Shakira
Rich Flex,Drake & 21 Savage
Love You Anyway,Luke Combs
Spin Bout U,Drake & 21 Savage
Next Thing You Know,Jordan Davis
Eyes Closed,Ed Sheeran
Daylight,David Kushner
Heart Like A Truck,Lainey Wilson
Cupid,Fifty Fifty
Wild As Her,Corey Kent
Bebe Dame,Fuerza Regida X Grupo Frontera
Bloody Mary,Lady Gaga
Tennessee Orange,Megan Moroney
Fight The Feeling,Rod Wave
Peaches,Jack Black
Low Down,Lil Baby
Beso,Rosalia & Rauw Alejandro
El Azul,Junior H x Peso Pluma
Red Ruby Da Sleeze,Nicki Minaj
Ain't That Some,Morgan Wallen
Never Felt So Alone,Labrinth
Nonsense,Sabrina Carpenter
Everything I Love,Morgan Wallen
See You Again,"Tyler, The Creator Featuring Kali Uchis"
I Wrote The Book,Morgan Wallen
Cowgirls,Morgan Wallen Featuring ERNEST
Man Made A Bar,Morgan Wallen Featuring Eric Church
Ch y La Pizza,Fuerza Regida X Natanael Cano
Need A Favor,Jelly Roll
Yandel 150,Yandel & Feid
In Ha Mood,Ice Spice
Trance,"Metro Boomin, Travis Scott & Young Thug"
ICU,Coco Jones
El Gordo Trae El Mando,Chino Pacas
All Of The Girls You Loved Before,Taylor Swift
Gold,Dierks Bentley
Dogtooth,"Tyler, The Creator"
Painting Pictures,Superstar Pride
Ceilings,Lizzy McAlpine
Human,Cody Johnson
Que Vuelvas,Carin Leon X Grupo Frontera
Strike (Holster),Lil Yachty
Sunrise,Morgan Wallen
Like Crazy,Jimin
Dawns,Zach Bryan Featuring Maggie Rogers
Happy,NF
Chanel,Becky G & Peso Pluma
Forever,Lil Baby Featuring Fridayy
Igualito A Mi Apa,Fuerza Regida & Peso Pluma
Special,Lizzo Featuring SZA
5 Leaf Clover,Luke Combs
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Heaven,Niall Horan
Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B
Memory Lane,Old Dominion
Love Again,The Kid LAROI
'98 Braves,Morgan Wallen
Di Que Si,Grupo Marca Registrada X Grupo Frontera
It Matters To Her,Scotty McCreery
